找 -zhǎo; find
闻 -wén; story/smell/famous
网 -wǎng; network/site
新闻 -xīnwén; news/tidings (two chars)
者 -zhě; one who (is)
治 -zhì; to govern/solve
行 -xíng; row/behavior/travel/professional
事 -shì; thing/situation
正 -zhèng; upright/proper
真 -zhēn; true
止 -zhǐ; only/stop/till

红 -hóng; red
橙 -chéng; orange
黄 -huáng; yellow
绿 -lǜ; green

只 -zhǐ; only/but
目 -mú; eye/item/list
强 -qiáng; strength/power/better
區 -qū; district/small
擐 -huàn; pass through
联 -lián; united
播 -bō; broadcast
云 -yún; cloud/scaling/say
山 -shān; mountain
乌 -wū; crow/raven
温 -wēn; temperature/warm/revise
州 -zhōu; state/province

民主 -mínzhǔ; democracy
主 -zhǔ; primary/lord
自由 -zìyóu; free
自 -zì; from/since/self/certainly
由 -yóu; by/from
厂 -chǎng; factory/slope
央 -yāng; central/beg
视 -shì; depending on/regard/look at/inspect
晚 -wǎn; late
全 -quán; whole
各 -gè; each
地 -de; ground
收 -shōu; recieve/stop
分 -fēn; minute/partition
布 -bù; cloth/fabric/spread
图 -tú; figure/seek
率 -lǜ; frequency/lead/hasty

春晚 -chūnwǎn; Spring Festival Gala
央视 -yāngshì; CCTV
各地 -gèdì; each region
收视 -shōushì; ratings
分布 -fēnbù; distributed (two characters)
品 -pǐn; article/grade/savor/pinkish
小品 -xiǎopǐn; sketch
饺 -jiǎo; dumpling
鹅 -é; goose
鸭 -yā; duck
猴 -hóu; monkey
鹦 -yīng; parrot
安 -ān; quiet/safe/install/harbor
庭 -tíng; court

谁 -shéi; who
员 -yuán; member
表达 -biǎodá; to express (two chars)
告 -gào; inform
诉 -sù; complain/state
告诉 -gàosù; tell (two chars)
爸爸 -bàba; papa
妈妈 -māma; mama
父 -fù; father
母 -mǔ; mother
父母 -fùmǔ; parents

田 -tián; field/farm
区 -qū; area/region (character)
地区 -dìqū; region (two characters)
和田 -Héitián; Hotan
反 -fǎn; anti-/rebel
恐 -kǒng; terror
维 -wéi; dimension/thinking/maintain
维稳 -wéiwěn; stability maintenance
誓 -shì; oath
誓师 -shìshī; vow before one's troops
大会 -dàhuì; general assembly
与 -yǔ; and/vs./give

德 -dé; ethics/Germany
法 -fǎ; law/France
法治 -fǎzhì; rule of law
级 -jí; class/grade
下 -xià; under/second
册 -cè; volume
铁路 -tiělù; railroad
铁 -tiě; iron
路 -lù; road
车 -chē; car/machine
梦 -mèng; dream
负 -fù; negative
责 -zé; duty

星 -xīng; star/satellite/small amount
测 -cè; measurement
保 -bǎo; protect
探 -tàn; explore
火 -huǒ; fire
器 -qì; implement/organ/talent
热 -rè; heat
确 -què; truly
讯 -xùn; news/fast
试 -shì; test

宋 -sòng; Song (dynasty)
代 -dài; generation/substitute
当 -dāng; be/equal
同 -tóng; with/same
论 -lùn; theory/discuss/ism
诸 -zhū; various
臣 -chén; minister
卷 -juǎn; volume/roll
议 -yì; discussion
奏 -zòu; perform
欧 -ōu; Europe
司 -sī; division/department/manage

馆 -guǎn; building/pavillion
士 -shì; scholar/warrior
之 -zhī; possessive p.
後 -hòu; after/rear/queen
